,username,mediacount,followers,followees,biography,profile_pic_url
12,meylaniartika0gmai,28,401,3518,,https://scontent-sin6-1.cdninstagram.com/v/t51.2885-19/169558552_111889887672059_1867647575961862229_n.jpg?_nc_ht=scontent-sin6-1.cdninstagram.com&_nc_cat=111&_nc_ohc=lQJAh0W6aJsAX_SWre7&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_zYL_dRFDly1u0yCiiGYtM96thhL8Jpt5C4GC797ha7Q&oe=62495DA3&_nc_sid=a9513d
13,dotchung,107,109,499,"Girl who loves fun, vintage & creative stuff. Jewelry designer, amateur fine art & clay artist. Love Jay-Z, Alicia Keys and Jhené Aiko!!!",https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/10986403_930368176996181_318838286_a.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=DS1shJkoQuAAX91TlUr&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT8ggpYgHIZZDVDhzrfctqxwRz32SusezNqvjPiNU-k_9g&oe=62492FA5&_nc_sid=a9513d
14,raw_opals,223,743,2705,"👉 Our First Aim is Customer Satisfaction Must. 👉❤️✈️
👉 TOP QUALITY OPAL GEMSTONE CABOCHONS WITH WHOLESALE PRICES💰
!! ✈️ WORLDWIDE FREE SHIPPING✈️  !!",https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/274750912_1280225355800622_5730167913752262407_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=106&_nc_ohc=JV5c-s3eyVkAX91cAd-&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_63dK7qVGI5RxpNMM9wThBOYQ8dWhVdEJ7Jyc3144Tkw&oe=624A348E&_nc_sid=a9513d
15,wnshmdlshbly,1,309,1422,,https://scontent-sin6-1.cdninstagram.com/v/t51.2885-19/117967728_1681020592051243_2761444429715737598_n.jpg?_nc_ht=scontent-sin6-1.cdninstagram.com&_nc_cat=107&_nc_ohc=be6uTqLKa6QAX_eQamT&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_dxecz9oVFaheaW-l6Vyigwu-51ekGvg2sBWi7BmsY4Q&oe=624A2A3D&_nc_sid=a9513d
16,m_7272_d,34,1473,4060,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/182563086_156961289762223_8286472617167725821_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=103&_nc_ohc=cZnKew8SOikAX-vbP1y&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-sWMsfURMZp5a8OC_AU0oq5JNC7hl4H2spfYVQSrvZbg&oe=624A24CF&_nc_sid=a9513d
17,lindarodriguezcruz,0,0,346,,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/177757696_514477862891769_61134948307860031_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=109&_nc_ohc=ZYhjaXY9mv0AX_RHv3q&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT8AA1zvUMrWx58cM4K06prA5l3cAz-dkWR9ggHXRwOQCQ&oe=624A50BD&_nc_sid=a9513d
18,naturel_afghan_stone,15,1054,4975,Afghan gem,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/277057350_316665707117052_2074334940002156340_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=100&_nc_ohc=jmQNq5Pt138AX8qbfFA&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_FFUypT8J4FPaV069vlCRtyjSQ_fjg8BpYvlR17sCoHQ&oe=6249F149&_nc_sid=a9513d
19,mehvamp81,61,605,2892,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/120199439_339718900676977_4118991336194783067_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=101&_nc_ohc=QRA1D_EO-IEAX-im2Ez&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_-G08zNRoyYzy9Z1WmgvfZ62ZV-3HNXA3RzJR7FLbr1A&oe=6249DA7B&_nc_sid=a9513d
20,endang_j_gemstone,693,1902,6156,"Jual bongkahan batu akik Garut
Tersedia jg cincin yg siap pakei
Lokasi kami Garut bungbulang
Wa 085318804100 pin BB 
D50D52F0",https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/210881572_345031087069756_6522402048128438857_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=104&_nc_ohc=aMFVtu2WoW0AX_Oni8h&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-iDArKzCEhmP-Tuuq7rB6UxLFp5np9lov8Z7M86mNC4g&oe=624A0333&_nc_sid=a9513d
21,axel_burnes,0,49,900,,https://instagram.fcgk24-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ad=z-m&_nc_ht=instagram.fcgk24-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=g_FIod7RUSYAX-gRkZR&edm=AJ9x6zYBAAAA&ccb=7-4&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4&oh=00_AT9vnL1xD8tAbCIf_91XCw9msXYFu5aZd_W_ywX6ho6Tfw&oe=624A548F&_nc_sid=cff2a4
22,salvia_urbana,199,5,2022,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/118826940_1643124165854701_5681564831199824347_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=101&_nc_ohc=V4VdMUc81uwAX-Sc8x4&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT8AP6fdnCffgpyKBOi3eisqKS8tGLWMS_lBns8LjoLKoQ&oe=62498564&_nc_sid=a9513d
23,kass_la_mala,0,341,3420,,https://scontent-sin6-1.cdninstagram.com/v/t51.2885-19/12918493_224174234623079_1254794026_a.jpg?_nc_ht=scontent-sin6-1.cdninstagram.com&_nc_cat=111&_nc_ohc=fri9A79vX-UAX9rQO3V&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT9Cni-04_kLp7HWDm9S_oeECzJrnKkdm_VrYEWvhhAf7Q&oe=624A6B73&_nc_sid=a9513d
24,bildwandeler,214,335,511,Künstler,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/274013269_1439036749888121_2935013178338129000_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=zQFJ_9eHZmQAX-MlHnt&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-lejXM6NibWdeu6NSkqNMA2vsefkQh_OV4o8cRo02WDA&oe=624AA472&_nc_sid=a9513d
25,geogemshopsales,44,32,260,"🙏SEND EMAIL in DM BEFORE CLAIMING
🌎Worldwide Shipping-Located in Europe
🔔Main Page: @geogemshop
💰PayPal accepted",https://scontent-sin6-1.cdninstagram.com/v/t51.2885-19/253916363_1080937692662671_7615793478449975024_n.jpg?_nc_ht=scontent-sin6-1.cdninstagram.com&_nc_cat=107&_nc_ohc=VLihDysOwzoAX86cqrx&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT9RKSdTcMXgQg0CxIi1YRv7A1npstj_h19JbeylqwtsYQ&oe=624A484B&_nc_sid=a9513d
26,crystal_shop_world,333,2363,7312,"We provide of all kind of polished material on wholesale price from Pakistan and Afghanistan 
WhatsApp 00923078928162
Minimum Oder quantity 5kg",https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/277320161_1468043720259297_4192968697778179425_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=109&_nc_ohc=M215KCEU0FgAX9HpLiR&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-v6JOCoMSbcEhZRvgPuh3jxBP5h1DdHTmZo1mDby7cHg&oe=624A7C5F&_nc_sid=a9513d
27,ayangsilvin,2,319,1231,Sukabumi_Indonesia🌏,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/271265707_656745209016326_63037878864644981_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=102&_nc_ohc=Eb1OsnCp1LoAX81qMFK&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT9DrinSLLx9POqCIa9Egl8Dv2uMlt4XYkOEaFzgjcytfA&oe=6249F76D&_nc_sid=a9513d
28,calcit_shop,648,3053,5032,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/277113026_483171310145377_3540465551711319354_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=101&_nc_ohc=51J15GQ9rekAX86bfdb&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT8ATdDbphHYxRnYwzyKW0SRoGEpLQaFoCGddtfowGuu_w&oe=624A6632&_nc_sid=a9513d
29,ytt_0211,35,36,260,"HK🇭🇰
0211🎂
cneclmc🏫
🐰：@MoiMoi20210512 and @milmil0226
👭🏻@r_j_211_328
爵屎and Hellosss
BLACKPINK and MIRROR",https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/255998122_491229442018885_7332825151666699658_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=101&_nc_ohc=1grr0kIwPaQAX-4VZTk&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT9QkZlQnA5VvISjwevdoLEuuX-KqC_isYX5uW6kdxxWyg&oe=6249B6D8&_nc_sid=a9513d
30,tiktok335873,0,35,308,,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/277367987_2139649996187084_8446821074614184625_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=108&_nc_ohc=k6V1nLZ29m8AX9tkmA0&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-w-Tw-j7bKPE4jS76dF4fyAcR9c0XwRSnHA0AU8FnWtQ&oe=62498F69&_nc_sid=a9513d
31,hessian_mineralhunter,38,185,131,"Bei mir findet ihr ausschließlich selbst gesammelte Mineralien ⛏💎 aus Hessen ❤ 🤍, Deutschland 🇩🇪
In diesem Sinne, Glück auf! ⚒",https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/275925848_319382370176290_6574719846830979209_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=110&_nc_ohc=v81qhdgFM_IAX-SFfVV&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT8H4qw1TCMLeZDdBF36O52D6CkJQLvVR_fDrfVqoq7MoA&oe=624AAAAF&_nc_sid=a9513d
32,raz.leila,68,227,1544,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/277215652_147727941057742_9131065081166705601_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=110&_nc_ohc=oVuJbjnUks8AX_LEwkW&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_AbBuvI7i48abV2QPEJXZSEzT3AkVKwABbWmxRr0cZhg&oe=6248C376&_nc_sid=a9513d
33,ofquartz.itsyou,10,135,79,"🔮 Hobby shop based in Singapore
✌️ All items are handmade
💰 All prices in SGD
🚛 Ships locally only",https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/242117849_919113045628264_2971694352598326769_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=104&_nc_ohc=el6G90uXn9EAX9f1DKQ&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT9pDxzdWYpLhfI51wyb2CghOlW4hL-ehP9BlHOyVSTTig&oe=62492067&_nc_sid=a9513d
34,diilaa99,4,303,3834,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/12237299_197170127293656_55008031_a.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=100&_nc_ohc=4WJJyZBPM5QAX9SoeyI&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_EYTXRIlg7hlNZ3vzwgWCk8lJMlWETuivLAtJD_V4MsQ&oe=6249A0F7&_nc_sid=a9513d
35,darloveslife,0,47,3247,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/261793284_409498950902413_613312855191732221_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=101&_nc_ohc=CFxG9j-yUY8AX9JUdmV&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT8i4xdN4Jn1ktDW75OW9kX7dMQk1U-DXXbFTij5jUh-uw&oe=624A9361&_nc_sid=a9513d
36,putbay_86,1,434,1314,,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/12716652_957562224325653_405114035_a.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=109&_nc_ohc=lsnasqCL9f8AX-CGtDY&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT9KsJO-z0rXjnK45no-MJaoOLVQXkS3lku_uCHMSVwY-Q&oe=6248C369&_nc_sid=a9513d
37,ronneyfecury,1,122,1906,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/193124333_117555580498609_1044814366361048769_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=101&_nc_ohc=EY7Uk3LA5mAAX--AgRP&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_lw7eMmoSR794OAhEmTW0JNp5DEoFr85TrAXpAnJTAaw&oe=624A2A34&_nc_sid=a9513d
38,hardlemonade711,9,75,357,"Rebuilding my community please be patient with me 💖. I DO NOT WANT TO BE CONSIDERED FOR A READING, MY ANCESTORS DID NOT CONTACT YOU GO AWAY!!!!",https://scontent-sin6-1.cdninstagram.com/v/t51.2885-19/277293507_533665818179891_5290623069875411199_n.jpg?_nc_ht=scontent-sin6-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Y8h1O3iruxkAX__xwp8&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_KJFhshqSJ0ggMmgk3Q8QIHx81ykTkYJLmydz6TZq3Uw&oe=62494092&_nc_sid=a9513d
39,wholesale_crystal_daisy,1577,525,886,"Wholesale and retail all kinds of natural ball, single point, play, skull, welcome to buy, we accept paypal payment",https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/274875835_356822402974504_1128750970487633958_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=104&_nc_ohc=cXRkxJNWspwAX-9BeCv&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT--xk5rMoc91IOvmGBKcSPtdOsE7VII30aZ69N5uFsi8w&oe=6249810E&_nc_sid=a9513d
40,sonder_tempo,107,404,1116,"Call me Mr. Procrastinator
""My train of thought has no destination."" - me
🐦 @sonder_tempo",https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/208293285_400421638005254_246327304817522938_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=102&_nc_ohc=7zh_RqhWFmkAX8yJMXq&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_M_nwMvO9Sskw_T3KEqyz4Qs1q_vCRuYfckAtHVnLTPA&oe=62492ED7&_nc_sid=a9513d
41,rockettkc,0,19,342,,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/117990400_118110663146925_2478769858329430528_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=109&_nc_ohc=XSngUasJvNUAX9g0VmU&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT9E1B1D_2VpBrfsHVJl_c6kchYVjo2fIWfmlfo5amKsrQ&oe=6248FE7F&_nc_sid=a9513d
42,ebrahim78yaghoubi,661,1200,2749,Es lebe die Freiheit ✌️️🇩🇪,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/14515721_223769631373580_3336161970821791744_a.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=108&_nc_ohc=GO6gfZ0T1OUAX_OpstL&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_KtzXiRcqphHfEnsu6vkITVPph4oAqTrsHVOXZa42_xQ&oe=624A8C23&_nc_sid=a9513d
43,veteranaria,7,71,280,"درمانگاه دامپزشکی دکتر آریا میرزایی پور
کرمانشاه هلشی",https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/250640972_1479050659133655_1582129139836792056_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=103&_nc_ohc=n74gDPDCtPkAX-dKg9p&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_BSyL7vxQ6KgydOxmmJO65sjL4smKH-eCfLA7gVcSjJg&oe=624A4D51&_nc_sid=a9513d
44,ap5311911,0,154,2708,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/19367790_1839368966380635_6319957892602527744_a.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=103&_nc_ohc=P2Z1WPfizAQAX_bnV2X&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT8dlChLFploGKh6JOA13BushJZWxWa6h-GxnAeQKp-H7Q&oe=624960E3&_nc_sid=a9513d
45,rezafathi944,90,377,1766,تا ابد تاجی هستم 💙,https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/275160632_691516431853468_1018061877563496325_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=104&_nc_ohc=iratPTfmkFwAX-h-uFN&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_XWdJIyT7KLBySfy4RRZqL97XG8--w0OhPdVW-rh5Mlw&oe=6248F95D&_nc_sid=a9513d
46,cristalparaiba,21,13,50,,https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/274100978_451831570013116_1486735012430028967_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=104&_nc_ohc=A1M_YkdVukkAX9yPoKs&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-xcpHu4g2sG0IKsXSM9DTSbBFCkcLhDdwU2HgGWp_RAQ&oe=6249CD73&_nc_sid=a9513d
47,jhar102,9,9,82,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/277316693_508980900730066_7837802639991273437_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=110&_nc_ohc=tPUkwpeaJyEAX9NSN_q&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-6ZpkqOTk_96PkbbHWw5itXhjkE_RVDS0yPtKuSkLcPw&oe=6248C3F3&_nc_sid=a9513d
48,canom.bolt,6,1522,994,"Geology ⚒🌎
S.N.C
🍁",https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/244533149_429917188480041_5783226152466142519_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=109&_nc_ohc=ieckozi-omUAX_FgVLz&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_75ObV8yILPmy9cmc4I3HpTIEHYE4s4qtKiFF-sRVZ7w&oe=624A3058&_nc_sid=a9513d
49,bryans.minerals,187,1474,774,"Mineral collector from Michigan
Ultra unique, rare, beautiful objects from mother earth.",https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/125201805_120810419640877_2871268122911766512_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=101&_nc_ohc=8aJPF73vhHQAX9IvEE9&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-B1K9YBaKHLcx-2qZZSRv7iWzx2fCY-aYGDLqBp7Xz8Q&oe=6249D490&_nc_sid=a9513d
50,ali_arab_khales,81,914,1219,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/274903470_502682671508640_8641544024776540355_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=100&_nc_ohc=vN_tVXA-KH4AX_UNgWW&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_KVKd_nPsJNSJYBFf_WxTWUjZz68vK2tEtcZ8MtsDhyQ&oe=624A2E78&_nc_sid=a9513d
51,tinajamieloh,452,13688,2182,"🇸🇬 SG lifestyle influencer
👨‍👩‍👦‍👦 Love my✌🏻cuties
🏅 Top 50 SG Blog
🤳 @sg_instamommies
💻 www.facebook.com/followmywanders",https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/131942922_485172319116448_795359624691174155_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=104&_nc_ohc=05M1S-57jCgAX-eRCtc&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-23QfFJap-A1vw0GYQzkuqACDMiRaaom8ShBJOwegRVQ&oe=6248C2F7&_nc_sid=a9513d
52,mica_holik,78,626,1540,Técnica de patín artístico en @lajaulapatin,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/89833587_3064551416912424_8126457558622797824_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=100&_nc_ohc=y1bdI544yVgAX9zSOmS&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-RUppCkVTaXnRhURnloec15KLWQCeVeosk45lhIeoj6w&oe=624A5A87&_nc_sid=a9513d
53,rubys__crystals,84,857,1654,"~Crystals~
TikTok- @Ruby’s_crystals
Facebook-ruby’s crystals",https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/273832149_368863311362884_4786346786683427867_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=104&_nc_ohc=nDqf5Z-vZA4AX_tphZR&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT8IhQTkqsiVeQ4Lcwcdgryr_4PRGd2ZWhsfA_KA_jN1xQ&oe=624A14E7&_nc_sid=a9513d
