Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts,,Notes
13119,thekawaiisugarnspice,18790,7210,FALSE,0.383714742,996,,
11772,acupofdee,18678,2685,FALSE,0.143752008,11872,,
12764,n.ikolah,18285,582,FALSE,0.031829368,898,,selfies and animal pics
3628,joddessss,17984,676,FALSE,0.037588968,555,,Beauty | Fashion | Gaming TP | BUS
6197,limmyssg,17753,7504,FALSE,0.422689123,1397,,
5238,eatandtravel.blog,17335,5525,FALSE,0.318719354,343,,???????? | ???????????? | ???????????? | ?????????????? | ?????????????????? | ???????????????????? ?????? ??????
5091,flatsoft.healthy,15322,6664,FALSE,0.434930166,147,,
1337,slowbrogal,15240,1243,FALSE,0.08156168,1586,,"Cynthia
Health/Beauty
?? ???? ????
??? Shopping•??Makeup•Skincare•??Travel•?Food"
6401,anndol.floral,14825,204,FALSE,0.01376054,793,,
214,mineralsrocksshop2.0,14125,215,FALSE,0.015221239,1190,,
213,ricks_nandwani,14125,215,FALSE,0.015221239,1190,,
4901,joycenglife,12742,560,FALSE,0.043949145,112,,
9373,crystal_wholesalerlu,12341,7043,FALSE,0.570699295,640,,
7890,joannekiong,11972,685,FALSE,0.057216839,2017,,seems to do some sponsorships
9287,underyourpillows,11423,675,FALSE,0.059091307,483,,
5741,miraichanjm,11411,1128,FALSE,0.098851985,287,,
3147,qis.mutiara,11324,2990,FALSE,0.264040975,3964,,
9568,juleneang,11301,1314,FALSE,0.116272896,1300,,"juleneang
Full-time baker
Featured on Zaobao, AsiaOne, Singapore Foodie, Damnworthit etc
??Singapore
?? juleneang@live.com.sg
???? @mjameswong
??@orniandloki
www.julsbake.com"
2161,deeeaanaa,11175,4378,FALSE,0.391767338,2473,,
7826,kimiiethea,11132,3950,FALSE,0.354832914,4400,,"Kimberly Thea ?????
Entrepreneur
??SG x Thai
? Business Coach & Mentor
?? No.1 SG Sales Director (Recruit) ‘17’18
?? Beauty @fleekbythea
?? Astrology Reading @thebaziclub
beacons.ai/kimiiethea"
2017,customymahjong,11083,207,FALSE,0.018677253,507,,
12167,iamtinetine_sg,11080,1435,FALSE,0.129512635,2075,,"Tine Obina
Personal blog
Wife to @byndeecel ????????
Beginner Skater: Started 18/Jul/2021 ??
Youtube Content Creator ????/????
??NEW VLOG LiNkS??
linktr.ee/tineobina"
7746,madeat6pm,10897,218,FALSE,0.020005506,262,,
5855,annascrystalshop,10695,346,FALSE,0.032351566,101,,
5391,janekarmendra,10645,3182,FALSE,0.298919681,1044,,"Jane Karmendra
Personal blog
??????+65
?????? #JamesMatthewGoh
?? Motherhood | ?????? Lifestyle & Beauty | ?? Food
???? Please DM for collab, review, invite ????
??? Supporting local biz"
7530,aubreynursingbra,10617,7495,FALSE,0.705943298,129,,
6576,hoolahco,10326,1288,FALSE,0.124733682,910,,
11959,loveaintlust._,10318,2420,FALSE,0.234541578,949,,
4663,gemmy.rice,10181,1468,FALSE,0.144190158,968,,
3010,reen_goh,10028,5527,FALSE,0.551156761,1421,,"Reen Goh
Personal blog
??@ansonlimys
Discount codes ??
linktr.ee/reen_goh"
6211,borneodivas,9589,5544,FALSE,0.578162478,3694,,
2487,crystycrystals,9570,491,FALSE,0.051306165,158,,
9074,mummys_tote,9384,5316,FALSE,0.566496164,3727,,
7882,ellieloveyou,9335,3436,FALSE,0.368077129,3673,,"ELLIE
??????"
6555,girlscanhustle.sg,9289,7495,FALSE,0.806868339,153,,
1804,myauroracrystals,9277,547,FALSE,0.058963027,461,,
10815,avarcas_sg,9248,1110,FALSE,0.120025952,1689,,
8366,stephysim,8829,7105,FALSE,0.804734398,5063,,
10575,jasminephua0115,8784,2328,FALSE,0.265027322,617,,
3429,lavvalsg,8721,10,FALSE,0.001146657,918,,
7827,petalsplus.sg,8618,87,FALSE,0.01009515,396,,
7287,angelbabypink,8578,249,FALSE,0.029027745,337,,"AngelBaby????
???*???A picture paints a thousand words ???????"
4808,queenorquyen,8267,5467,FALSE,0.66130398,1403,,
348,factory1wholesale,8180,6636,FALSE,0.811246944,6750,,
9156,justsomesimplethings,8148,992,FALSE,0.121747668,816,,
1184,jessluvzs,8114,2218,FALSE,0.273354696,1218,,"?ESSI??
#joashloon 9yo
#jonasloon 6yo ????
??@sgfavesofficial
??@binkyboppy

H?? ????? ????? ?? ???? ????? ????. ??
-Luke 1:50
campsite.bio/pinkcoral"
7807,cheryldesiree,8016,3203,FALSE,0.399575848,2712,,
6229,cheongkaching,7375,1207,FALSE,0.163661017,2057,,"???? girl in wanderlust ?
Personal blog
paulcon | hku | sjchku | foodpanda apac
born and raised in ???? - former ??????????????
current SSC master swimmer ???????????"
6790,crystalmojo,7277,31,FALSE,0.004259997,212,,
1196,rachelxooo,7031,752,FALSE,0.106954914,1702,,
6795,shopsoleilco,6823,321,FALSE,0.047046754,485,,
11130,phyllisfatballl,6793,1115,FALSE,0.164139555,2252,,
4450,charlean,6460,5166,FALSE,0.799690402,3599,,
4323,apple_miss_whatever,6451,4247,FALSE,0.658347543,3374,,
2069,saltwateratelier,6292,1202,FALSE,0.191036236,181,,
6223,lesleysdelights,6271,1356,FALSE,0.216233456,706,,
5864,katherineting,6241,2001,FALSE,0.320621695,4191,,
1946,felizaong,6097,1519,FALSE,0.249138921,996,,
4365,secretclovers,6050,989,FALSE,0.163471074,360,,
173,anaqilyanahairi,5967,992,FALSE,0.166247696,985,,
10271,jay_chitra,5939,1858,FALSE,0.312847281,1011,,
7395,iamjaslinepan,5918,5039,FALSE,0.851470091,4514,,
8723,achubukaka,5895,1205,FALSE,0.204410517,235,,
4051,xmslynn,5841,4852,FALSE,0.830679678,1178,,
11861,fidelistoh,5705,1396,FALSE,0.244697634,2926,,
